"","binomial","iucn.no","family","country","rule_of_law","deathrate","hdi","gdp","geog.range","fr.in.country","num.countries"
"319","piliocolobus badius",4,"cercopithecidae","ivory coast",-0.814981381210565,2.29620295557129,0.435200337344023,22.2477609549644,288014338730.941,0.339931510116532,1.38629436111989
"320","piliocolobus bouvieri",5,"cercopithecidae","republic of congo",-1.04,2.30358459332713,0.591,21.9713779140709,16804036970.4708,0.268449315374003,0
"321","piliocolobus epieni",5,"cercopithecidae","nigeria",-1.04,2.55800220485855,0.514,25.2519079919028,3527630691.34976,1,0
"322","piliocolobus gordonorum",4,"cercopithecidae","tanzania",-0.43,2.08069076108027,0.521,23.6277003722105,5867506697.61661,1,0
"323","piliocolobus kirkii",4,"cercopithecidae","tanzania",-0.43,2.08069076108027,0.521,23.6277003722105,1592045798.70121,0.504106708328273,0
"324","piliocolobus oustaleti",1,"cercopithecidae","central african republic",-1.06307327014478,2.31010122038604,0.5815210282574,22.0454887284874,551479995215.516,0.0297015396610594,1.38629436111989
"325","piliocolobus preussi",5,"cercopithecidae","cameroon",-0.967916618873913,2.34056288602154,0.512197915471848,23.6364642125362,3832215282.6386,0.0933807252593658,0.693147180559945
"326","piliocolobus rufomitratus",4,"cercopithecidae","kenya",-0.49,1.93296963777958,0.548,23.3852831580056,202598348.109595,1,0
"327","piliocolobus temminckii",4,"cercopithecidae","gambia",-0.829110528601731,2.41269987727296,0.436894639258865,21.6427813010847,66782225098.9602,0.0808586770089964,1.38629436111989
"328","piliocolobus tephrosceles",4,"cercopithecidae","tanzania",-0.412573624087309,2.14391653861784,0.513642196836864,23.496913779739,3919265064.7064,0.00157597471654052,0.693147180559945
"329","piliocolobus tholloni",2,"cercopithecidae","republic of congo",-1.04,2.30358459332713,0.591,21.9713779140709,501824369402.125,0.99984321213989,0
"330","piliocolobus waldronae",5,"cercopithecidae","ivory coast",-0.259041509702901,2.13290218872213,0.519070464006433,23.0895598897087,85384957273.1646,0.5108978647692,0.693147180559945
"331","pithecia aequatorialis",1,"pitheciidae","peru",-0.74264611233137,1.72761855753178,0.733149415550675,24.4242091393744,125936084591.464,0.57470777533726,0.693147180559945
"332","pithecia albicans",3,"pitheciidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,65581367751.374,1,0
"333","pongo abelii",5,"hominidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,7955592036.8741,0.0315482238407089,0
"334","pongo pygmaeus",5,"hominidae","indonesia",-0.251804204659634,1.82196628260687,0.699335306691158,26.0938566763641,227877487322.071,0.595869903040111,0.693147180559945
"335","presbytis chrysomelas",5,"cercopithecidae","indonesia",0.193625354668072,1.71189563275717,0.742951933104944,25.6868693264882,40127760048.2402,0.0073275727699951,1.09861228866811
"336","presbytis comata",4,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,27220261172.0246,0.964778315193683,0
"337","presbytis femoralis",2,"cercopithecidae","malaysia",-0.193978169237076,1.9583084908607,0.700153977094586,25.4625156817675,149499625860.908,0.0722310253140129,1.6094379124341
"338","presbytis frontata",3,"cercopithecidae","indonesia",-0.226001737251513,1.81598780152542,0.701836566286843,26.0744309051861,314372515214.907,0.00285552958984557,0.693147180559945
"339","presbytis hosei",3,"cercopithecidae","malaysia",0.116186406618608,1.72598721648599,0.737146804572012,25.757951809673,247960704307.073,0.0923778906611836,1.09861228866811
"340","presbytis melalophos",4,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,291703172208.49,0.185398423658192,0
"341","presbytis natunae",3,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,1654677153.46827,1,0
"342","presbytis potenziani",4,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,6044538228.61019,0.643471676689654,0
"343","presbytis rubicunda",1,"cercopithecidae","indonesia",-0.186253511251473,1.80347011660026,0.706736055359275,26.0381071669882,506881450503.393,0.320140740572333,1.09861228866811
"344","presbytis siamensis",2,"cercopithecidae","indonesia",0.222304760856664,1.70812794180816,0.745379012394739,25.6541372902015,161725099645.959,0.270499315333449,1.09861228866811
"345","presbytis thomasi",3,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,60911549070.3931,1,0
"346","procolobus verus",2,"cercopithecidae","togo",-0.532533805786254,2.20951238934782,0.480195675873548,22.8670429296931,404670482883.786,0.000855561978977344,2.07944154167984
"347","prolemur simus",5,"lemuridae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,1717799739.98673,0.699088568528467,0
"348","propithecus candidus",5,"indriidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,1702863138.36951,1,0
"349","propithecus coquereli",4,"indriidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,30990297477.3236,1,0
"350","propithecus coronatus",4,"indriidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,45523147946.6526,1,0
"351","propithecus deckenii",4,"indriidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,26211440899.6166,1,0
"352","propithecus diadema",5,"indriidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,16510697015.6814,0.720334454022486,0
"353","propithecus edwardsi",4,"indriidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,3088251662.81374,1,0
